case,profile,rep,scale,compile_ns,probe_ns,r1,r2,nodes_public,nodes_substrates,tokens_from,tokens_fields,capacity_streams,capacity_sum,capacity_max,node_count,nodes_sha256
W7_Q04,ALGSTRUCT,1,6,295830,1593,0,0,8,0,16,6,6,15,4,8,64eb05b2d681af147811cd64dc0e11be812cb48952e297a71fcf6d3c013ba4a0
W4_Q16,STRUCT,1,6,4803697,27130,0,0,66,2,132,530,22,511,31,68,7fbae5656c303ca065341c5db14fa3ef41fb196c82f59bb1c789e1f7b78b0f7a
W8_Q08,STRUCT_R2,1,6,1452024,6074,0,1,21,2,48,171,11,169,63,23,6202056e7f9106d89fc2c03650e5a38d69f704cc369ba9e689bf413e5f7173e1
W7_Q08,ALGSTRUCT,1,6,415034,1574,0,0,12,0,28,10,6,15,4,12,d13ad2add4e1d9cb21c441a8963ffbcf5f462a05d4f61331fa56b7c117fe58d1
W5_Q08,OFF,1,6,444923,3203,0,0,24,0,24,8,18,66,4,24,1ec99f8159a9bf9f7216cbde66142ab941580d932ab53b67181d9941e08515a5
W1,STRUCT_R2,1,6,257979,1334,0,0,3,2,7,3,6,15,4,5,4b26ed307e0166f8d1fa59ea1e874899e41c5fd882be9ef62f84eb3685bb70b7
W5_Q02,STRUCT_R2,1,6,219851,1740,0,0,6,0,6,2,6,18,4,6,e7741c936508103b2af3b934e316124eac7bac4773e716fb634bafee4047c0e4
W9_Q02,STRUCT_R1,1,6,477735,4260,0,0,4,0,6,96,4,4,1,4,f59554bf6b558dac39020afcdc9d3261e3c200f0f612cb6818827b31bbda0408
W6_Q16,STRUCT_R2,1,6,971973,2148,0,0,18,2,52,18,6,15,5,20,bb0755604375307ff8e5fd09781b80b224d9ab98fa75fb51387fe44cb24e3726
W4_Q04,STRUCT_R2,1,6,1245952,7278,0,0,18,2,36,134,10,139,31,20,fd25718cb278dfe33c1131161ba4977814e08de24bd73801325a42bf895b4b90
W8_Q16,STRUCT_R1,1,6,2200241,6258,16,0,29,1,55,178,10,168,63,30,d68e12eaec95eadd08fb1ce8e6c0dcfc893de77e4c3d4f5a64bb4b4ee29b64b3
W7_Q32,OFF,1,6,915029,3185,0,0,36,0,100,34,6,15,4,36,6bdf3735d7ed12e047353d97f7fd342934c808ba421573c6cd2474dd612f37b1
W7_Q01,STRUCT_R1,1,6,223240,1443,0,0,5,0,7,3,6,15,4,5,70f8123fffd2af37d12a00e22d9841098c66a489d4953aae174ab2cb5014e5d7
W8_Q01,ALGSTRUCT,1,6,1095693,5353,1,1,14,1,25,163,10,168,63,15,fdd35fe24122be542f9944d55e73c67d2cd28afd3fd1ff25e723a080e5d2dad8
